"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1418037_at",1.65233817836517,4.49413041432342,2.84912221824176,0.00961220179515938,0.0116621974386768,-3.49361335804446
"1418239_at",2.63342363028376,4.96690394572578,2.84860745136533,0.00962335620726182,0.0116688179469936,-3.49471013443801
"1449123_at",3.38472176924663,5.52289518363225,2.84815850226434,0.00963309451677375,0.0116737145386702,-3.49566660702259
"1447547_at",0.867625018090343,6.00677576352593,2.84734453402318,0.00965077459249705,0.0116882237524743,-3.4974005739709
"1419006_s_at",0.547104492463815,5.77093566815517,2.84227058024904,0.00976168588267562,0.0118155630542078,-3.50820454319144
"1422293_a_at",0.681474448276242,7.3262599116774,2.83988997523663,0.00981414195245265,0.0118720394085192,-3.51327065359497
"1425785_a_at",-0.891206417073157,7.66568935579203,-2.83292407953976,0.0099691841542027,0.0120524729325898,-3.52808388933429
"1424279_at",5.65542569342692,6.81781244469601,2.83245788972708,0.00997964333465478,0.0120579997341434,-3.5290746869078
"1424641_a_at",-0.770801279431716,5.4826889336156,-2.8280427844905,0.0100792188394358,0.0121711321834696,-3.53845457926494
"1426278_at",0.988339686098534,10.2604465905095,2.82662587348276,0.010111375410892,0.0122027677321784,-3.54146343501751
"1418216_at",0.736884022517131,6.66310562305537,2.82629602294167,0.0101188753504969,0.0122046270422954,-3.54216378733474
"1438040_a_at",0.823619664310291,8.09264748821403,2.82481153174991,0.0101526945447016,0.0122382097866679,-3.54531527205575
"1448659_at",0.862634321034727,6.94142776648123,2.81878501033621,0.0102910994224603,0.0123977480101169,-3.55810165879135
"1418126_at",-1.08411008185292,10.215549558613,-2.81558550335059,0.0103653086093484,0.0124798071910321,-3.56488506826111
"1441516_a_at",0.632223534680692,6.59687404555053,2.81171030813999,0.010455873016459,0.0125814500221551,-3.57309642781096
"1436397_at",0.886981374572922,7.04435684026968,2.80591634085229,0.0105926879591971,0.012738593623274,-3.58536413280356
"1421118_a_at",0.66367073832417,8.35418819036152,2.80421434715933,0.0106332008437038,0.0127798094647332,-3.58896564711346
"1452843_at",-0.727838331424555,6.64256496195943,-2.80204346231408,0.0106850891313439,0.0128346407865058,-3.5935579358387
"1452291_at",-0.82417927426159,8.07726956829965,-2.80132168968732,0.0107023942506213,0.0128478918084833,-3.59508441882194
"1460604_at",0.717776818693322,6.42032903450069,2.79917567605089,0.010754004634136,0.0129022855833102,-3.59962199472301
"1418645_at",1.39847841690492,6.00181816756855,2.79707859209668,0.0108046672758561,0.0129554792628532,-3.60405459775977
"1419209_at",1.7427397385719,5.11025179371287,2.79495000684238,0.0108563233904725,0.0130098012309466,-3.60855225097101
"1418853_at",1.84465030249855,6.37762756083548,2.79176389517596,0.010934083093217,0.0130953229093031,-3.61528153997945
"1448465_at",-0.625232351106591,6.54874822641025,-2.78940731779445,0.0109919382310118,0.013156919635951,-3.62025655794999
"1423479_at",-0.608853579937042,6.35248222974398,-2.78463029915111,0.011110111846853,0.0132906010878242,-3.63033556525474
"1430523_s_at",-1.08598445315595,8.54483712652123,-2.77891386988881,0.0112531141123339,0.0134538106842147,-3.64238629093365
"1419692_a_at",1.47353739907753,6.83813407660154,2.77814346615021,0.011272519951138,0.0134691486930751,-3.64400950436668
"1424318_at",0.721795209637978,9.62804468342081,2.77371588900208,0.0113846657691938,0.0135952160322501,-3.65333426171359
"1456753_at",-0.710294030111665,8.9361796647616,-2.77317892474867,0.0113983384450023,0.0136036113842452,-3.65446467935071
"1419100_at",2.19971155617942,6.14994939603172,2.77172510895494,0.0114354352705602,0.013638585924119,-3.65752475010232
"1428823_at",-0.634123714309127,5.22390593748183,-2.7715088933416,0.0114409622156428,0.013638585924119,-3.65797978964847
"1419412_at",1.52556355105823,6.83460128614419,2.76752472514248,0.0115432621551431,0.0137525310609267,-3.66636180757925
"1423725_at",1.32738162251502,5.47514787768575,2.76084969731325,0.0117166062131286,0.0139509357700508,-3.68039249682618
"1417381_at",1.6676166710816,7.06039266894316,2.75994400026688,0.0117403160784099,0.0139710443512977,-3.68229503770938
"1417962_s_at",1.23998618991125,4.90487004124178,2.75171057045045,0.0119579570592209,0.0142217747138701,-3.69957722813347
"1422754_at",0.663100883751159,9.34178449012729,2.74742987432944,0.0120726213716903,0.0143475832109937,-3.70855305106442
"1426223_at",0.743378687415382,6.4601995545299,2.74723928737009,0.012077750710817,0.0143475832109937,-3.7089525252233
"1420699_at",-0.97643243113257,9.61881688680131,-2.73691271452989,0.0123587884535827,0.014672926813297,-3.73057788332494
"1418771_a_at",3.04845184773242,4.93107368092959,2.73641899952482,0.0123723792166089,0.0146805519325695,-3.73161084036468
"1420484_a_at",3.08952400241047,6.86611662858577,2.7356043065176,0.012394836738678,0.0146986830577954,-3.73331516073729
"1419573_a_at",0.77028335261112,10.105334646511,2.73283283841592,0.0124715240028274,0.0147810654848325,-3.73911122929867
"1416025_at",3.99721428428674,7.25889397145211,2.72684685382178,0.012638696941999,0.0149705328728825,-3.7516204978639
"1429642_at",0.722899174869066,7.38705611338797,2.7254473366006,0.0126780872795585,0.0150085102592693,-3.75454328772646
"1437726_x_at",2.08767884681044,4.70963324415151,2.72204429420412,0.0127743545341607,0.0151137366181174,-3.76164733725362
"1418555_x_at",0.720151792738664,5.21988939596354,2.72127312201609,0.0127962660473107,0.0151309196679517,-3.7632566209243
"1422702_at",0.635594799805169,10.7255987761654,2.7205651623713,0.012816412860417,0.0151459974253514,-3.76473380254868
"1448561_at",0.607593871202916,9.92461130005936,2.71348547299234,0.0130195446436983,0.0153771784488432,-3.77949578702079
"1433968_a_at",0.825163549749457,6.92549031530502,2.70752855884622,0.0131928219033092,0.0155728525982578,-3.79190247997694
"1455351_at",-0.603937268148634,5.93726985862798,-2.70381256469348,0.0133020186399235,0.0156927040176055,-3.79963533375619
"1417542_at",0.445857382088624,7.10399195397995,2.70073718347851,0.0133930375194834,0.0157909849394945,-3.80603125262449
"1448138_at",-0.451600195048542,9.32479154148552,-2.69999114411588,0.0134152060096658,0.0158080218111597,-3.80758227701646
"1449555_a_at",1.45746052831778,5.97826601222938,2.68532381521173,0.013858164609367,0.0163205986888922,-3.83803395120291
"1419872_at",0.814039752750071,10.590333539401,2.68210850023769,0.0139571008948736,0.0164276681797132,-3.84469874761193
