"","GSM944836_inf_lin","GSM944850_inf_lin","GSM944857_inf_lin","GSM944864_inf_lin","GSM944854_uni_lin","GSM944847_uni_lin","GSM944840_uni_lin","GSM944861_uni_lin","GSM944835_inf_unt","GSM944849_inf_unt","GSM944863_inf_unt","GSM944856_inf_unt","GSM944845_uni_unt","GSM944852_uni_unt","GSM944859_uni_unt","GSM944838_uni_unt","GSM944865_inf_van","GSM944837_inf_van","GSM944851_inf_van","GSM944858_inf_van","GSM944841_uni_van","GSM944855_uni_van","GSM944862_uni_van","GSM944848_uni_van"
"Tcf7",8.46641936968618,8.27438154692646,8.19901505463783,8.06233843175997,10.5245194091564,10.8018576404127,10.3474027290968,10.6411233186033,10.0105467647955,7.79198156209534,8.18702895214455,8.39249944422069,10.4045282952335,10.6058273974316,10.6135407645836,10.4835528718903,8.23304392610531,8.24152715895039,8.21070541029844,9.82358437275559,10.9225642001664,10.6898530498527,10.1635732051267,10.3096457585329
"Tcf7l2",5.91314920438522,6.15777327842937,5.2976112895568,5.63689484529811,4.88631574728004,4.97958694115809,4.52493306686147,4.89514259515226,6.1945780588666,6.05623756969046,6.27460913359184,5.15232779320192,4.799012831186,4.89386692837135,4.60738096640305,4.63803355455511,5.7046381471316,6.09253471563658,5.80478071764373,5.21093064968562,4.46113988421279,5.14734883470602,5.13729324804832,5.15084674012257
"Kmt2a",6.59625620044467,6.73576630825554,6.59643276440317,6.54607746089115,8.04598714058497,7.94537994535577,7.58528102317519,8.03531581400776,6.31342132829722,6.34405004824663,6.72841693163153,6.37432470568042,8.10601830282431,7.91028355400888,8.08989566384463,7.32005493752546,6.43617382946076,6.59268770305832,6.68690907567736,6.74226426910862,8.37591960679016,8.20908222809504,7.7888136822143,7.71446866935718
"Tcf3",7.00968462729145,7.06817249402481,6.92531819919744,7.11974698415255,8.07444599551045,8.37610560763023,8.04371484541437,8.03966740315032,7.02685630310691,7.09204528893087,6.90420025265518,6.96229855423685,8.06115007501772,7.92914405492873,8.41499628659956,8.05174149661363,6.99103700707947,7.27674108671277,7.14957693655637,7.06484721349739,8.65713270990892,8.67776699005573,8.07570587147872,8.16820459037948
"Tfec",6.02133672816296,6.0821485849,6.77120797821517,6.04675913737182,5.2531721444281,5.7944234146669,5.40515562791627,5.11456848325621,6.89248919374971,6.73848623681484,7.5162496125988,8.00965929574297,5.24706686210678,5.40458468086533,5.09283154274175,5.31088719276387,6.21974321256771,6.56903750321246,6.23032247253107,7.28870395701533,5.3982435397485,5.83842049522984,5.25345510011155,5.34452700489034
"Fnbp1l",4.44074364854377,4.39765089269119,5.36471858276728,5.17769461479221,3.82738683130457,3.81365251458126,3.91358201477409,3.89059447829822,5.32853574207775,4.30260261812057,4.83676214929662,6.43027766642811,4.02476939035022,3.92090699701204,4.05410386760227,3.8217706377249,4.40727285779998,4.86337561220173,5.0921947050908,4.70492273650552,4.23134296920985,3.97885778545282,4.45814985834928,4.33059697481176
"Tcn2",8.40767969655377,8.96361243910997,9.44222287898516,8.70027092798837,7.95061293792446,8.1375414439962,7.93000479028001,7.63685636674849,8.57461026805045,9.28436899924167,9.91194101331656,9.22774410784542,8.19537341199666,8.09742435045815,7.95765823799251,7.74243336126196,9.29670582148361,9.051541676056,9.00515871834617,9.06178328306241,8.30869938406869,8.48269240180393,7.91352835010186,8.58255834606349
"Neurl3",7.03794309083994,7.29861810986527,6.92748234257282,7.05812076402459,8.2053895559454,8.40585367652083,8.05714136629228,8.3955372557839,7.44918729845504,7.20416723038819,7.38782391147906,7.01734377665937,8.45767551851627,8.26369988780837,8.5478633371333,7.42106382532039,7.1852956463712,7.18868655868874,7.37531733512256,7.45348535971016,8.8446763159696,8.78824921430716,8.54256398051426,8.53289527096169
"Kdm5a",5.79210899336178,6.54621352736789,5.97658855200129,6.15088936727235,7.27323239979565,7.7273890711313,7.08938731014134,7.48572340189386,7.26125590712715,6.10047037862547,6.44013390522537,5.67352560002358,7.38022997580955,7.2575317919979,7.52783880134586,7.06538894083185,6.35872867191001,6.40626818046548,6.36049507755341,6.61522736235105,7.58176529949358,7.47647017253451,6.95298800772274,7.34642303182383
"Utp25",6.21135448513844,6.36839134602336,6.41677246976849,6.57703777377042,6.97908376654152,7.3965022902649,7.05699474647347,7.09322552530926,6.7436613609578,6.08145274819416,5.93983365784734,6.00506755638853,7.15490459567066,7.23719593625671,7.20803242463622,6.82809394436022,5.81845537520094,6.52291990827175,6.15969916252228,6.20642558924368,7.50966595923579,7.50843734131173,6.69416046194247,7.07274724790427
"Traf3ip3",6.94545236186817,7.1420008576987,6.7041366111217,6.88396743004197,8.15336734155944,8.18937872744426,8.00996273131688,8.28061679811518,6.90464804708253,6.87242734650486,7.34046098256427,6.15624666740946,8.29311816975177,8.21838860647804,8.52062154173638,7.91314310255258,7.01836505891286,7.21554006966566,7.26484035392942,7.32347762274583,8.61552778048248,8.64697868831623,8.18771900317974,8.12584769467771
"Il36g",8.83911033955583,9.17735311611139,9.28057013988078,9.37388356158026,7.3506618101044,7.11916712356879,7.28724889653088,7.35226638338494,8.07638624372464,9.30512715940619,10.8728718361372,9.60334608914256,7.22633979209929,7.48179724047882,6.75099582077008,7.09418745857852,9.49781606216428,9.07449855917955,9.61435936802171,8.58041531695133,7.33061350252154,7.05372894554811,6.73496575241336,7.25754144191819
"Rnpep",7.8254744732717,8.17734489783704,8.33631933116617,7.90291663253285,6.38452309481857,6.59033244018107,6.41244842661919,6.17807475842378,6.7584266395542,8.13528549473798,8.83490487160241,8.19555168351625,6.31963828418747,6.52748846433047,6.6818342773033,5.96011002882214,8.07948866836663,8.4069506457148,8.30117722540943,7.6195701382209,6.49653266876561,6.97203082673622,6.41209717766,6.76787890946004
"Miga1",4.83305742859269,5.35432289311578,5.2691501315217,5.32281331890237,6.24047801794002,6.4577642697359,5.98007003560455,6.10545101803642,5.197598144226,5.42938735823765,5.18431410209954,5.12883640440303,6.29187167811704,6.25467183381409,6.376656154837,6.10358513675285,5.11939314562065,5.18798944768763,4.96471253404877,5.4418309437916,6.2505726871826,6.47032157042422,6.05287222392979,5.93306762659974
"Tcrb-J",10.7524392992683,10.2279879226012,9.77189760177074,10.0932363656162,12.1525747138355,12.1886534569932,11.981410847975,12.1458736029265,10.9077706721247,10.0559095138534,10.3329582883727,10.0861337898025,12.0216283592044,12.1203731301444,12.1624877768299,12.0169708509219,10.3254757448229,10.5098136855044,10.2151498949196,10.9483156800291,12.3931597809516,12.1039343047536,11.951724119885,11.9029167061086
"Ilvbl",6.55218509141791,6.78532895111026,6.29748380745943,6.5026985131745,7.31176823806532,7.58143403622397,7.27477151124814,7.30777800184917,6.74381283019227,6.50471962075251,6.52700725558091,6.38011358989235,7.28396313353964,7.3569578283972,7.50713230293908,7.06713022845464,6.45408493401315,6.52399096811717,6.33112412957102,6.57001610851765,7.71359790100477,7.8935198551911,7.19614717289351,7.23648901745939
"Polrmt",6.11753906605395,6.32490453334087,6.28317622284708,6.30926419999749,7.63663663951385,7.68187294042201,7.26601247711748,7.54887229063862,6.20032407765082,6.27659846017487,6.36135246158535,5.32805981364643,7.46585456847,7.60169675638812,7.6937824009793,7.3667613072727,6.10594567646882,6.4606694807003,6.43394557935928,6.52514578946547,7.84672726582043,7.7034597372473,7.32876378835448,7.68560646267153
"Ckap4",8.63106925147697,9.08469350043272,9.97685647892577,9.0109727286668,7.52321749211989,7.94620912964858,7.37395899006275,7.54796109359378,10.038119793316,9.80145104420977,10.4196419576274,9.72156735631639,7.78480684161771,7.86034514354935,7.76082248009013,7.47054118368632,9.9115743219644,9.23888615826776,9.67288717429407,9.8511283349516,7.99784806557282,8.52306428399562,7.61671968955537,7.51841968731552
"Rab3ip",5.9623860256113,5.86109265594621,5.68754405777726,5.98013267959061,6.99446781257217,6.84048334397853,6.80020461539285,6.89546206015748,6.26348920557467,5.67894515692562,6.09631388075007,5.58189740513438,6.92140487273887,6.91560546220093,6.94106735427925,6.86802394903123,5.78449903544717,5.86464709212703,5.99902268724045,5.98644207597686,7.33779947080566,7.0274533468399,6.68610115419282,6.6008632986356
"Pik3ip1",6.41787764115791,6.1141336623285,5.99487711612483,6.38081638712155,8.29227178727075,7.87955506859615,7.94054649732077,7.6475166775686,8.66531182155457,6.40178464809577,7.05896780699092,7.58437388561768,7.72482583516559,7.91812219529163,7.70276999882015,7.8552335903619,6.36961656982926,6.07223441306851,6.49571900890118,8.3954128762979,8.37888375065127,8.15633442405472,7.70359282265662,7.86327251010729
